體育專區,#genre#

愛爾達體育3,http://198.16.106.62:8278/streams/d/eltasport3_zero/playlist.m3u8

CCTV-5 體育,http://39.135.138.8:6610/PLTV/88888888/224/3221225633/2/index.m3u8?fmt=ts2hls#http://117.148.178.9/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230734/index.m3u8
CCTV-5+ 賽事,http://39.135.138.8:6610/PLTV/88888888/224/3221225706/2/index.m3u8?fmt=ts2hls#http://117.148.178.9/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228822/index.m3u8

HKC奧運601台,https://api.leonardpark.dev/live/icable/601
HKC奧運602台,https://api.leonardpark.dev/live/icable/602
HKC奧運603台,https://api.leonardpark.dev/live/icable/603
HKC奧運604台,https://api.leonardpark.dev/live/icable/604
HKC奧運605台,https://api.leonardpark.dev/live/icable/605[Group]


愛爾達體育1,rtmp://161.202.204.248:1935/sat/md041
愛爾達體育2,rtmp://161.202.204.248:1935/sat/md051
愛爾達體育3,rtmp://161.202.204.248:1935/sat/md021

ELTA体育1台,rtmp://161.202.204.248/sat/md042
ELTA体育2台HD,http://198.16.106.62:8278/streams/d/luxetv_zero/playlist.m3u8
ELTA体育3台HD,http://198.16.106.62:8278/streams/d/eltasport3_zero/playlist.m3u8

ELTA奧運1台,rtmp://161.202.204.248/sat/md011
ELTA奧運2台,rtmp://161.202.204.248:1935/sat/md031

愛爾達體育1台p2p,p2p://fccsovh.pvbox.live:18912/5b140917000aaf8fc294bf05ce9744a5.ts
東森新聞,mitv://fccseuro.pvbox.live:18912/5c2dd7310008b3195b1f53317f5456e2
公視,p2p://fccseuro.pvbox.live:18912/5b1409600001a0b2b34e074d843505c0.ts

ELTA體育,mitv://fccseuro.pvbox.live:18912/5b140917000aaf8fc294bf05ce9744a5
ELTA體育,mitv://fccsovh.pvbox.live:18912/5b140917000aaf8fc294bf05ce9744a5
ELTA體育2,mitv://fccseuro.pvbox.live:18912/5b3c4f9d000af1fc542019dd7702f547
ELTA體育2,mitv://fccsovh.pvbox.live:18912/5b3c4f9d000af1fc542019dd7702f547
ELTA體育3,mitv://fccseuro.pvbox.live:18912/5b25fc8c00046f122dd8a5d154bcf87a
ELTA體育3,mitv://fccseuro.pvbox.live:18912/5c7249f7000966361d58752a73813a0e
ELTA體育3,mitv://fccsovh.pvbox.live:18912/5b25fc8c00046f122dd8a5d154bcf87a

ELTA體育1,rtmp://59.124.75.153:1935/sat/md041
ELTA體育2,rtmp://59.124.75.153:1935/sat/md031
ELTA體育3,rtmp://59.124.75.153:1935/sat/md051
ELTA體育3,http://198.16.106.62:8278/streams/d/eltasport3_zero/playlist.m3u8

愛爾達體育1,rtmp://161.202.204.248:1935/sat/md041
愛爾達體育2,rtmp://161.202.204.248:1935/sat/md031
愛爾達體育3,rtmp://161.202.204.248:1935/sat/md051
愛爾達體育3,http://198.16.106.62:8278/streams/d/eltasport3_zero/playlist.m3u8

ELTA奧運1台/博斯魅力,rtmp://161.202.204.248/sat/md011
ELTA奧運1台,rtmp://59.124.75.153:1935/sat/md011
ELTA奧運2台,rtmp://59.124.75.153:1935/sat/md021

爱尔达体育1台,rtmp://161.202.204.248/sat/md042
爱尔达体育2台/Eleven運動2台,http://198.16.106.62:8278/streams/d/luxetv_zero/playlist.m3u8
爱尔达体育3台/Eleven運動1台,rtmp://161.202.204.248:1935/sat/md021

ELTA體育 mitv,mitv://fccseuro.pvbox.live:18912/5b140917000aaf8fc294bf05ce9744a5
ELTA體育 mitv,mitv://fccsovh.pvbox.live:18912/5b140917000aaf8fc294bf05ce9744a5
ELTA體育2mitv,mitv://fccseuro.pvbox.live:18912/5b3c4f9d000af1fc542019dd7702f547
ELTA體育2mitv,mitv://fccsovh.pvbox.live:18912/5b3c4f9d000af1fc542019dd7702f547
ELTA體育3mitv,mitv://fccseuro.pvbox.live:18912/5b25fc8c00046f122dd8a5d154bcf87a
ELTA體育3mitv,mitv://fccseuro.pvbox.live:18912/5c7249f7000966361d58752a73813a0e
ELTA體育3mitv,mitv://fccsovh.pvbox.live:18912/5b25fc8c00046f122dd8a5d154bcf87a

東京奧運🇭🇰香港頻道,

HKC奧運601台,https://api.leonardpark.dev/live/icable/601
HKC奧運602台,https://api.leonardpark.dev/live/icable/602
HKC奧運603台,https://api.leonardpark.dev/live/icable/603
HKC奧運604台,https://api.leonardpark.dev/live/icable/604
HKC奧運605台,https://api.leonardpark.dev/live/icable/605[Group]

星馬地區,#genre# 



Astro 双星,http://50.7.161.82:8278/streams/d/Shuangxing/playlist.m3u8
Asiancrush,http://ac-samsung.samsung.wurl.com/manifest/playlist.m3u8
Astro 全佳,http://50.7.161.82:8278/streams/d/Quanjia/playlist.m3u8
Astro Ceria,http://50.7.161.82:8278/streams/d/Ceria/playlist.m3u8
8TV,http://50.7.161.82:8278/streams/d/TV8/playlist.m3u8
欢喜台,http://185.180.221.194:8278/streams/d/Huahee/playlist.m3u8
  
Astro 小太阳,http://50.7.161.82:8278/streams/d/Xiaotaiyang/playlist.m3u8
AEC,p8p://0198.02686.cc:16871/5ebce360000578b04d059fff4c2e3e3b.ts 
AEC,http://198.16.106.62:8278/streams/d/Aec1511/playlist.m3u8 
AEC,http://50.7.161.82:8278/streams/d/aec_pye/playlist.m3u8
Astro Citra,http://50.7.161.82:8278/streams/d/Citra/playlist.m3u8
Astro Awani,http://50.7.161.82:8278/streams/d/Awani/playlist.m3u8
Drama Sangat,http://50.7.161.82:8278/streams/d/Dsangat/playlist.m3u8
TV3,http://50.7.161.82:8278/streams/d/TV3/playlist.m3u8
Bernama TV,http://50.7.161.82:8278/streams/d/Bernama/playlist.m3u8
NTV 7,http://50.7.161.82:8278/streams/d/Rtmntv7/playlist.m3u8
TV2,http://50.7.161.82:8278/streams/d/TV2/playlist.m3u8
TV9,http://50.7.161.82:8278/streams/d/TV9/playlist.m3u8
Channel 5,https://dlau142f16b92.cloudfront.net/hls/ch5ctv/master02.m3u8
8频道,http://d34e90s3s13i7n.cloudfront.net/hls/ch8ctv/master02.m3u8
U频道,http://d3inlz9elsutjl.cloudfront.net/hls/chuctv/master02.m3u8
Astro Prima,http://50.7.161.82:8278/streams/d/Prima/playlist.m3u8
Oh!K hd,http://50.7.161.82:8278/streams/d/Ohk/playlist.m3u8
Travel,http://travelxp-travelxp-1-gb.samsung.wurl.com/manifest/playlist.m3u8
Astro SuperSport 2,http://50.7.161.82:8278/streams/d/Assp2/playlist.m3u8
Astro SuperSport 2,http://50.7.161.82:8278/streams/d/Natgeowild/playlist.m3u8

Astro Awani,http://awanitv.akamaized.net/hls/live/2017836/LiveTV1/index.m3u8
Astro Awani,http://awanitv.akamaized.net/hls/live/2017836/LiveTV1/stream04/streamPlaylist.m3u8
Astro Oasis,http://50.7.161.82:8278/streams/d/Oasis/playlist.m3u8
Boo,http://50.7.161.82:8278/streams/d/Boo/playlist.m3u8
Celestial Classic 天映经典,http://50.7.161.82:8278/streams/d/Celestial2/playlist.m3u8
astro AOD,http://198.16.106.62:8278/streams/d/AodHD/playlist.m3u8
Mediacorp 5,http://ns2.hellotvvod.com:9906/b7f7bbc57b3d4e6a8d49e85f819326db
Mediacorp 8,http://ns2.hellotvvod.com:9906/eff7e3b2745648b3af59ca51f3b226f5
Mediacorp 5,http://ns2.hellotvvod.com:9906/62945bf71c5c415dbfb3cf7519a10d44.ts
Mediacorp 8,http://ns2.hellotvvod.com:9906/c5959f4677fd43e9aea52141b1535f87.ts
Suria,http://ns2.hellotvvod.com:9906/e2776edfb65a477d85bf73fb8013ba4c.ts
Vasantham,http://ns2.hellotvvod.com:9906/b7be274768b843fda95833726ef07685.ts
CNA,http://ns2.hellotvvod.com:9906/8cbdff49185e4bdfbe4d17fc88d5d7b5.ts
Mediacorp U,https://ns2.hellotvvod.com:9906/3e52aa9d608348839bcfd58a3cee3c78.ts
Suria,http://ns2.hellotvvod.com:9906/acb88ed498764a9b9e26e264faeee7d2
Vasantham,http://ns2.hellotvvod.com:9906/9b6927cd86a44ffc89de640772320784
CNA,http://ns2.hellotvvod.com:9906/8fccca5531454b76bc88b7156a0919e5
Mediacorp U,https://ns2.hellotvvod.com:9906/43c9f5bda75a4b658307635a55b8b5d1
FOX,http://198.16.106.62:8278/streams/d/foxhd_zero/playlist.m3u8
FOX犯罪电影,http://198.16.106.62:8278/streams/d/foxcrime_zero/playlist.m3u8
FOX动作电影,http://198.16.106.62:8278/streams/d/foxaction_zero/playlist.m3u8
FOX家庭电影,http://198.16.106.62:8278/streams/d/foxfamily_zero/playlist.m3u8
HBO原创电影,http://198.16.106.62:8278/streams/d/hbosignature_zero/playlist.m3u8
HBO,http://liveorigin01.hbogoasia.com:8443/origin/live/main/HBO/index.m3u8
HBO Family,http://liveorigin01.hbogoasia.com:8443/origin/live/main/FAMILY/index.m3u8
HBO Hits,http://liveorigin01.hbogoasia.com:8443/origin/live/main/HITS/index.m3u8
HBO Signature,http://liveorigin01.hbogoasia.com:8443/origin/live/main/SIG/index.m3u8
Red by HBO,http://liveorigin01.hbogoasia.com:8443/origin/live/main/RED/index.m3u8
Baby First,http://livecdn.fptplay.net/qnetlive/babyfirst_hls.smil/chunklist_b2500000.m3u8
Boomerang,http://livecdn.fptplay.net/qnetlive/boomerang_hls.smil/chunklist_b2500000.m3u8
CBeebies,http://iptv1.privateiptv.club:80/live/random-robbie/random-robbie/823.m3u8
Da Vinci,http://livecdn.fptplay.net/world/davincihd_hls.smil/chunklist_b2500000.m3u8
Battery Pop,http://dai2.xumo.com/amagi_hls_data_xumo1212A-redboxbatterypop/CDN/playlist.m3u8
Asian Food Network,http://livecdn.fptplay.net/world/afchd_hls.smil/chunklist_b2500000.m3u8
Animal Planet,http://livecdn.fptplay.net/qnetlive/animalplanet_hls.smil/chunklist_b2500000.m3u8
BBC Earth,http://livecdn.fptplay.net/qnetlive/bbcearth_hls.smil/chunklist_b2500000.m3u8
Discovery,http://livecdn.fptplay.net/qnetlive/discovery_hls.smil/chunklist_b2500000.m3u8
Discovery Asia,http://livecdn.fptplay.net/qnetlive/discoveryasia_hls.smil/chunklist_b2500000.m3u8
CinemaWorld (576p),http://210.210.155.35/uq2663/h/h04/index.m3u8
HBO Malaysia,http://50.7.161.82:8278/streams/d/Hbo/playlist.m3u8
Kix,http://210.210.155.35/uq2663/h/h07/01.m3u8
新唐人-美西频道,http://live.ntdimg.com/uwlive520/playlist.m3u8
新唐人亚太臺,http://live.ntdimg.com/aplive200/playlist.m3u8
新唐人加东臺,http://live.ntdimg.com/mllive860/playlist.m3u8
新唐人加西臺,http://live.ntdimg.com/cwlive220/playlist.m3u8
新唐人旧金山臺,http://live.ntdimg.com/sflive990/playlist.m3u8
新唐人美东臺,http://live.ntdimg.com/live400/playlist.m3u8
新唐人美西臺,http://live.ntdimg.com/uwlive990/playlist.m3u8
新婚夫妇的性生活,http://156zy.suyunbo.tv/2018/07/21/RiQKisSwjNi4r7Hb/playlist.m3u8
亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
红牛运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_6660.m3u8
红牛运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8
狗狗宠物,http://video.blivenyc.com/broadcast/prod/2061/22/file-3192k.m3u8
彭博财经,http://liveproduseast.akamaized.net/us/Channel-USTV-AWS-virginia-1/Source-USTV-1000-1_live.m3u8
NHK·华语视界,http://nhkw-zh-hlscomp.akamaized.net/8thz5iufork8wjip/playlist.m3u8
NHK·国际频道,http://nhkwlive-xjp.akamaized.net/hls/live/2003458/nhkwlive-xjp-en/index_1M.m3u8
TVB·电视剧台,http://edge6a.v2h-cdn.com/appt7/TDramaTV.stream_720p/playlist.m3u8
俄罗斯老电影,http://kprf-htlive.cdn.ngenix.net/live/_definst_/stream_high/chunklist.m3u8
俄罗斯第一台,http://radio-live-mg.rtr-vesti.ru/hls/russia_hd/playlist_3.m3u8
法国时尚,http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8
高清时尚,http://95.67.47.115/hls/hdfashion_ua_hi/index.m3u8
摩洛哥·TV5,http://v3plusinfo247hls-i.akamaihd.net/hls/live/218877-b/v3plusinfo247hls/v3plusinfo247hls_1_1.m3u8
加拿大国家台,http://wowzaprodhd84-lh.akamaihd.net/i/4ae6355d_1@505999/index_1299456_av-p.m3u8?sd=10&rebase=on
加拿大中文台,http://wowzaprodhd45-lh.akamaihd.net/i/96d54ef6_1@438617/index_1299456_av-p.m3u8?sd=10&rebase=on
ABC·新闻频道,http://cms-wowza.lunabyte.io/wbrz-live-1/_definst_/smil:wbrz-live.smil/chunklist_b1300000.m3u8
News·Max,http://nmxlive.akamaized.net/hls/live/529965/Live_1/index_720.m3u8
Racing·运动,http://racingvic-i.akamaized.net/hls/live/598695/racingvic/1500.m3u8
大爱一台,http://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱二台,http://pulltv1.wanfudaluye.com/live/tv2.m3u8
C+-影视,http://gslbmeiah.cdn.hk.chinamobile.com/livehls/MOB-U1-NO/01.m3u8
天映频道,http://50.7.161.82:8278/streams/d/Celestial/playlist.m3u8
天映频道,http://50.7.161.82:8277/streams/d/celestial_pye/playlist.m3u8
TVN-亚洲,http://50.7.161.82:8278/streams/d/TVN/playlist.m3u8
Astro-爱奇艺,http://50.7.161.82:8278/streams/d/iqiyi_pye/playlist.m3u8
Astro-港剧台,http://50.7.161.82:8278/streams/d/aod_pye/playlist.m3u8
BBC-记录,http://livecdn.fptplay.net/qnetlive/bbcearth_2000.stream/chunklist.m3u8
FOX-生活,http://livecdn.fptplay.net/foxlive/foxlifehd_2000.stream/chunklist.m3u8
FOX-FS1,http://stream.fs1.tv:8080/hls/webstream.m3u8
FOX-体育一台,http://www.livedoomovie.com/02_foxsport_720p/chunklist.m3u8
FOX-体育一台,http://livecdn.fptplay.net/qnetlive/foxsports_2000.stream/chunklist.m3u8
FOX-体育二台,http://www.livedoomovie.com/02_FoxSport2_TH_720p/chunklist.m3u8
FOX-体育二台,http://livecdn.fptplay.net/qnetlive/foxsports2_2000.stream/chunklist.m3u8
FOX-体育三台,http://livecdn.fptplay.net/qnetlive/foxsports3_2000.stream/chunklist.m3u8
FOX-体育三台,http://www.livedoomovie.com/02_FoxSport3_TH_720p/chunklist.m3u8
NBA-体育频道,http://www.livedoomovie.com/02_nbahd_720p/chunklist.m3u8
TLC-旅游生活,http://livecdn.fptplay.net/qnetlive/travelliving_hls.smil/chunklist_b2500000.m3u8
TLC-旅游生活,http://198.16.106.62:8278/streams/d/tlcasia_zero/playlist.m3u8
中视,http://185.207.176.189:8080/channels/tw-100/playlist.m3u8
华视,http://185.207.176.189:8080/channels/tw-501/playlist.m3u8
OHK,http://50.7.161.82:8277/streams/d/ohk_pye/playlist.m3u8
WWE,http://50.7.161.82:8278/streams/d/wwe_pye/playlist.m3u8
